Size	dbscan-10	dbscan-100	dbscan-200	dbscan-50	entropy-1	entropy-2	entropy-3	gradient	hentropy-100	hentropy-200	hentropy-300	kmeans-100	kmeans-20	kmeans-50	random	
Result(algorithm=dbscan-200, size=500, topics=44, minScore=0.83, tp=21364, tn=228636, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=250000, calculatedSimilarities=250003, minimumSimilarities=21364, time=679)
Result(algorithm=dbscan-50, size=500, topics=44, minScore=0.83, tp=20148, tn=228636, fp=0, fn=1216, precision=1.0, recall=0.9430818198839168, clusters=4, totalSimilarities=250000, calculatedSimilarities=68332, minimumSimilarities=21364, time=670)
Result(algorithm=entropy-1, size=500, topics=44, minScore=0.83, tp=20236, tn=228636, fp=0, fn=1128, precision=1.0, recall=0.9472008987081071, clusters=10, totalSimilarities=250000, calculatedSimilarities=72624, minimumSimilarities=21364, time=2)
Result(algorithm=entropy-2, size=500, topics=44, minScore=0.83, tp=9600, tn=228636, fp=0, fn=11764, precision=1.0, recall=0.4493540535480247, clusters=45, totalSimilarities=250000, calculatedSimilarities=18096, minimumSimilarities=21364, time=1)
Result(algorithm=entropy-3, size=500, topics=44, minScore=0.83, tp=7834, tn=228636, fp=0, fn=13530, precision=1.0, recall=0.3666916307807527, clusters=84, totalSimilarities=250000, calculatedSimilarities=11600, minimumSimilarities=21364, time=1)
Result(algorithm=gradient, size=500, topics=44, minScore=0.83, tp=16650, tn=228636, fp=0, fn=4714, precision=1.0, recall=0.7793484366223553, clusters=41, totalSimilarities=250000, calculatedSimilarities=44128, minimumSimilarities=21364, time=0)
Result(algorithm=hentropy-100, size=500, topics=44, minScore=0.83, tp=12508, tn=228636, fp=0, fn=8856, precision=1.0, recall=0.5854708856019472, clusters=13, totalSimilarities=250000, calculatedSimilarities=39070, minimumSimilarities=21364, time=4)
Result(algorithm=hentropy-200, size=500, topics=44, minScore=0.83, tp=20236, tn=228636, fp=0, fn=1128, precision=1.0, recall=0.9472008987081071, clusters=10, totalSimilarities=250000, calculatedSimilarities=72624, minimumSimilarities=21364, time=2)
Result(algorithm=hentropy-300, size=500, topics=44, minScore=0.83, tp=20236, tn=228636, fp=0, fn=1128, precision=1.0, recall=0.9472008987081071, clusters=10, totalSimilarities=250000, calculatedSimilarities=72624, minimumSimilarities=21364, time=1)
Result(algorithm=kmeans-100, size=500, topics=44, minScore=0.83, tp=16248, tn=228636, fp=0, fn=5116, precision=1.0, recall=0.7605317356300318, clusters=44, totalSimilarities=250000, calculatedSimilarities=2218752, minimumSimilarities=21364, time=571)
Result(algorithm=kmeans-20, size=500, topics=44, minScore=0.83, tp=16018, tn=228636, fp=0, fn=5346, precision=1.0, recall=0.7497659614304437, clusters=44, totalSimilarities=250000, calculatedSimilarities=458332, minimumSimilarities=21364, time=469)
Result(algorithm=kmeans-50, size=500, topics=44, minScore=0.83, tp=16662, tn=228636, fp=0, fn=4702, precision=1.0, recall=0.7799101291892904, clusters=44, totalSimilarities=250000, calculatedSimilarities=1119510, minimumSimilarities=21364, time=525)
Result(algorithm=random, size=500, topics=44, minScore=0.83, tp=464, tn=228636, fp=0, fn=20900, precision=1.0, recall=0.021718779254821196, clusters=44, totalSimilarities=250000, calculatedSimilarities=5752, minimumSimilarities=21364, time=0)

600	Result(algorithm=dbscan-10, size=600, topics=44, minScore=0.83, tp=31052, tn=328932, fp=0, fn=16, precision=1.0, recall=0.9994850006437492, clusters=2, totalSimilarities=360000, calculatedSimilarities=296222, minimumSimilarities=31068, time=1060)
Result(algorithm=dbscan-100, size=600, topics=44, minScore=0.83, tp=30124, tn=328932, fp=0, fn=944, precision=1.0, recall=0.9696150379812025, clusters=2, totalSimilarities=360000, calculatedSimilarities=202904, minimumSimilarities=31068, time=1005)
Result(algorithm=dbscan-200, size=600, topics=44, minScore=0.83, tp=31068, tn=328932, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=360000, calculatedSimilarities=360003, minimumSimilarities=31068, time=985)
Result(algorithm=dbscan-50, size=600, topics=44, minScore=0.83, tp=29836, tn=328932, fp=0, fn=1232, precision=1.0, recall=0.960345049568688, clusters=3, totalSimilarities=360000, calculatedSimilarities=155510, minimumSimilarities=31068, time=993)
Result(algorithm=entropy-1, size=600, topics=44, minScore=0.83, tp=29592, tn=328932, fp=0, fn=1476, precision=1.0, recall=0.9524913093858632, clusters=12, totalSimilarities=360000, calculatedSimilarities=104648, minimumSimilarities=31068, time=2)
Result(algorithm=entropy-2, size=600, topics=44, minScore=0.83, tp=13914, tn=328932, fp=0, fn=17154, precision=1.0, recall=0.447856315179606, clusters=48, totalSimilarities=360000, calculatedSimilarities=26066, minimumSimilarities=31068, time=2)
Result(algorithm=entropy-3, size=600, topics=44, minScore=0.83, tp=11230, tn=328932, fp=0, fn=19838, precision=1.0, recall=0.36146517316853355, clusters=94, totalSimilarities=360000, calculatedSimilarities=16336, minimumSimilarities=31068, time=2)
Result(algorithm=gradient, size=600, topics=44, minScore=0.83, tp=23596, tn=328932, fp=0, fn=7472, precision=1.0, recall=0.7594953006308742, clusters=44, totalSimilarities=360000, calculatedSimilarities=63268, minimumSimilarities=31068, time=0)
Result(algorithm=hentropy-100, size=600, topics=44, minScore=0.83, tp=16522, tn=328932, fp=0, fn=14546, precision=1.0, recall=0.5318012102484871, clusters=17, totalSimilarities=360000, calculatedSimilarities=38460, minimumSimilarities=31068, time=3)
Result(algorithm=hentropy-200, size=600, topics=44, minScore=0.83, tp=29592, tn=328932, fp=0, fn=1476, precision=1.0, recall=0.9524913093858632, clusters=12, totalSimilarities=360000, calculatedSimilarities=104648, minimumSimilarities=31068, time=3)
Result(algorithm=hentropy-300, size=600, topics=44, minScore=0.83, tp=29592, tn=328932, fp=0, fn=1476, precision=1.0, recall=0.9524913093858632, clusters=12, totalSimilarities=360000, calculatedSimilarities=104648, minimumSimilarities=31068, time=1)
Result(algorithm=kmeans-100, size=600, topics=44, minScore=0.83, tp=24386, tn=328932, fp=0, fn=6682, precision=1.0, recall=0.7849233938457577, clusters=44, totalSimilarities=360000, calculatedSimilarities=2668504, minimumSimilarities=31068, time=537)
Result(algorithm=kmeans-20, size=600, topics=44, minScore=0.83, tp=23674, tn=328932, fp=0, fn=7394, precision=1.0, recall=0.7620059224925969, clusters=44, totalSimilarities=360000, calculatedSimilarities=555776, minimumSimilarities=31068, time=623)
Result(algorithm=kmeans-50, size=600, topics=44, minScore=0.83, tp=24786, tn=328932, fp=0, fn=6282, precision=1.0, recall=0.7977983777520278, clusters=44, totalSimilarities=360000, calculatedSimilarities=1348910, minimumSimilarities=31068, time=1244)
Result(algorithm=random, size=600, topics=44, minScore=0.83, tp=646, tn=328932, fp=0, fn=30422, precision=1.0, recall=0.020793099008626238, clusters=44, totalSimilarities=360000, calculatedSimilarities=8246, minimumSimilarities=31068, time=0)

700	Result(algorithm=dbscan-10, size=700, topics=44, minScore=0.83, tp=43668, tn=446310, fp=0, fn=22, precision=1.0, recall=0.999496452277409, clusters=3, totalSimilarities=490000, calculatedSimilarities=408664, minimumSimilarities=43690, time=1446)
Result(algorithm=dbscan-100, size=700, topics=44, minScore=0.83, tp=42148, tn=446310, fp=0, fn=1542, precision=1.0, recall=0.9647058823529412, clusters=2, totalSimilarities=490000, calculatedSimilarities=270095, minimumSimilarities=43690, time=1329)
Result(algorithm=dbscan-200, size=700, topics=44, minScore=0.83, tp=43690, tn=446310, fp=0, fn=0, precision=1.0, recall=1.0, clusters=1, totalSimilarities=490000, calculatedSimilarities=490004, minimumSimilarities=43690, time=1302)
Result(algorithm=dbscan-50, size=700, topics=44, minScore=0.83, tp=42624, tn=446310, fp=0, fn=1066, precision=1.0, recall=0.9756008239871824, clusters=3, totalSimilarities=490000, calculatedSimilarities=219212, minimumSimilarities=43690, time=1360)
Result(algorithm=entropy-1, size=700, topics=44, minScore=0.83, tp=41442, tn=446310, fp=0, fn=2248, precision=1.0, recall=0.9485465781643396, clusters=12, totalSimilarities=490000, calculatedSimilarities=146300, minimumSimilarities=43690, time=1)
Result(algorithm=entropy-2, size=700, topics=44, minScore=0.83, tp=19944, tn=446310, fp=0, fn=23746, precision=1.0, recall=0.45648889906157014, clusters=50, totalSimilarities=490000, calculatedSimilarities=37244, minimumSimilarities=43690, time=2)
Result(algorithm=entropy-3, size=700, topics=44, minScore=0.83, tp=16008, tn=446310, fp=0, fn=27682, precision=1.0, recall=0.36639963378347445, clusters=99, totalSimilarities=490000, calculatedSimilarities=22796, minimumSimilarities=43690, time=2)
Result(algorithm=gradient, size=700, topics=44, minScore=0.83, tp=33008, tn=446310, fp=0, fn=10682, precision=1.0, recall=0.7555046921492332, clusters=46, totalSimilarities=490000, calculatedSimilarities=88470, minimumSimilarities=43690, time=2)
Result(algorithm=hentropy-100, size=700, topics=44, minScore=0.83, tp=22782, tn=446310, fp=0, fn=20908, precision=1.0, recall=0.5214465552758069, clusters=18, totalSimilarities=490000, calculatedSimilarities=49688, minimumSimilarities=43690, time=4)
Result(algorithm=hentropy-200, size=700, topics=44, minScore=0.83, tp=41442, tn=446310, fp=0, fn=2248, precision=1.0, recall=0.9485465781643396, clusters=12, totalSimilarities=490000, calculatedSimilarities=146300, minimumSimilarities=43690, time=3)
Result(algorithm=hentropy-300, size=700, topics=44, minScore=0.83, tp=41442, tn=446310, fp=0, fn=2248, precision=1.0, recall=0.9485465781643396, clusters=12, totalSimilarities=490000, calculatedSimilarities=146300, minimumSimilarities=43690, time=3)
Result(algorithm=kmeans-100, size=700, topics=44, minScore=0.83, tp=34360, tn=446310, fp=0, fn=9330, precision=1.0, recall=0.7864499885557336, clusters=44, totalSimilarities=490000, calculatedSimilarities=3118756, minimumSimilarities=43690, time=1843)
Result(algorithm=kmeans-20, size=700, topics=44, minScore=0.83, tp=37788, tn=446310, fp=0, fn=5902, precision=1.0, recall=0.8649118791485466, clusters=44, totalSimilarities=490000, calculatedSimilarities=661894, minimumSimilarities=43690, time=969)
Result(algorithm=kmeans-50, size=700, topics=44, minScore=0.83, tp=32006, tn=446310, fp=0, fn=11684, precision=1.0, recall=0.7325703822384985, clusters=44, totalSimilarities=490000, calculatedSimilarities=1577190, minimumSimilarities=43690, time=932)
Result(algorithm=random, size=700, topics=44, minScore=0.83, tp=936, tn=446310, fp=0, fn=42754, precision=1.0, recall=0.021423666742961776, clusters=44, totalSimilarities=490000, calculatedSimilarities=11152, minimumSimilarities=43690, time=1)

800	Result(algorithm=dbscan-10, size=800, topics=44, minScore=0.83, tp=60420, tn=579558, fp=0, fn=22, precision=1.0, recall=0.9996360146917707, clusters=3, totalSimilarities=640000, calculatedSimilarities=539098, minimumSimilarities=60442, time=1973)
Result(algorithm=dbscan-100, size=800, topics=44, minScore=0.83, tp=56504, tn=579558, fp=0, fn=3938, precision=1.0, recall=0.9348466298269416, clusters=3, totalSimilarities=640000, calculatedSimilarities=244242, minimumSimilarities=60442, time=2017)
Result(algorithm=dbscan-200, size=800, topics=44, minScore=0.83, tp=58658, tn=579558, fp=0, fn=1784, precision=1.0, recall=0.970484100459945, clusters=2, totalSimilarities=640000, calculatedSimilarities=356996, minimumSimilarities=60442, time=2122)
Result(algorithm=dbscan-50, size=800, topics=44, minScore=0.83, tp=59996, tn=579558, fp=0, fn=446, precision=1.0, recall=0.9926210251149863, clusters=2, totalSimilarities=640000, calculatedSimilarities=485904, minimumSimilarities=60442, time=2130)
Result(algorithm=entropy-1, size=800, topics=44, minScore=0.83, tp=57578, tn=579558, fp=0, fn=2864, precision=1.0, recall=0.9526157307832303, clusters=12, totalSimilarities=640000, calculatedSimilarities=195676, minimumSimilarities=60442, time=2)
