Size	entropy1	entropy2	entropy3	hentropy	kmeans	gradient	
800	Result(algorithm=entropy1, size=800, topics=44, minScore=0.95, tp=32130, tn=607346, fp=0, fn=524, precision=1.0, recall=0.9839529613523611, clusters=12, totalSimilarities=640000, calculatedSimilarities=195676, minimumSimilarities=32654, time=3)
Result(algorithm=entropy2, size=800, topics=44, minScore=0.95, tp=17402, tn=607346, fp=0, fn=15252, precision=1.0, recall=0.532920928523305, clusters=52, totalSimilarities=640000, calculatedSimilarities=50228, minimumSimilarities=32654, time=1)
Result(algorithm=entropy3, size=800, topics=44, minScore=0.95, tp=16724, tn=607346, fp=0, fn=15930, precision=1.0, recall=0.5121577754639554, clusters=103, totalSimilarities=640000, calculatedSimilarities=31114, minimumSimilarities=32654, time=2)
Result(algorithm=hentropy, size=800, topics=44, minScore=0.95, tp=17340, tn=607346, fp=0, fn=15314, precision=1.0, recall=0.5310222331107981, clusters=48, totalSimilarities=640000, calculatedSimilarities=46090, minimumSimilarities=32654, time=3)
Result(algorithm=kmeans, size=800, topics=44, minScore=0.95, tp=31300, tn=607346, fp=0, fn=1354, precision=1.0, recall=0.958534942120414, clusters=44, totalSimilarities=640000, calculatedSimilarities=56230, minimumSimilarities=32654, time=868)
Result(algorithm=gradient, size=800, topics=44, minScore=0.95, tp=30420, tn=607346, fp=0, fn=2234, precision=1.0, recall=0.9315857169106389, clusters=48, totalSimilarities=640000, calculatedSimilarities=118366, minimumSimilarities=32654, time=1)

900	Result(algorithm=entropy1, size=900, topics=44, minScore=0.95, tp=42652, tn=766660, fp=0, fn=688, precision=1.0, recall=0.9841255191508999, clusters=13, totalSimilarities=810000, calculatedSimilarities=253420, minimumSimilarities=43340, time=2)
Result(algorithm=entropy2, size=900, topics=44, minScore=0.95, tp=23642, tn=766660, fp=0, fn=19698, precision=1.0, recall=0.5455006922011998, clusters=55, totalSimilarities=810000, calculatedSimilarities=65920, minimumSimilarities=43340, time=1)
Result(algorithm=entropy3, size=900, topics=44, minScore=0.95, tp=22780, tn=766660, fp=0, fn=20560, precision=1.0, recall=0.5256114443931703, clusters=109, totalSimilarities=810000, calculatedSimilarities=41976, minimumSimilarities=43340, time=2)
Result(algorithm=hentropy, size=900, topics=44, minScore=0.95, tp=23232, tn=766660, fp=0, fn=20108, precision=1.0, recall=0.5360406091370559, clusters=59, totalSimilarities=810000, calculatedSimilarities=55238, minimumSimilarities=43340, time=15)
Result(algorithm=kmeans, size=900, topics=44, minScore=0.95, tp=41000, tn=766660, fp=0, fn=2340, precision=1.0, recall=0.9460083064143978, clusters=44, totalSimilarities=810000, calculatedSimilarities=68784, minimumSimilarities=43340, time=1583)
Result(algorithm=gradient, size=900, topics=44, minScore=0.95, tp=40476, tn=766660, fp=0, fn=2864, precision=1.0, recall=0.9339178587909552, clusters=55, totalSimilarities=810000, calculatedSimilarities=153858, minimumSimilarities=43340, time=1)

1000	Result(algorithm=entropy1, size=1000, topics=44, minScore=0.95, tp=54934, tn=944280, fp=0, fn=786, precision=1.0, recall=0.9858937544867193, clusters=13, totalSimilarities=1000000, calculatedSimilarities=321042, minimumSimilarities=55720, time=2)
Result(algorithm=entropy2, size=1000, topics=44, minScore=0.95, tp=30014, tn=944280, fp=0, fn=25706, precision=1.0, recall=0.5386575735821967, clusters=59, totalSimilarities=1000000, calculatedSimilarities=82278, minimumSimilarities=55720, time=2)
Result(algorithm=entropy3, size=1000, topics=44, minScore=0.95, tp=28974, tn=944280, fp=0, fn=26746, precision=1.0, recall=0.5199928212491026, clusters=116, totalSimilarities=1000000, calculatedSimilarities=52798, minimumSimilarities=55720, time=2)
Result(algorithm=hentropy, size=1000, topics=44, minScore=0.95, tp=29528, tn=944280, fp=0, fn=26192, precision=1.0, recall=0.5299353912419239, clusters=62, totalSimilarities=1000000, calculatedSimilarities=68166, minimumSimilarities=55720, time=27)
Result(algorithm=kmeans, size=1000, topics=44, minScore=0.95, tp=53408, tn=944280, fp=0, fn=2312, precision=1.0, recall=0.9585068198133525, clusters=44, totalSimilarities=1000000, calculatedSimilarities=91900, minimumSimilarities=55720, time=1580)
Result(algorithm=gradient, size=1000, topics=44, minScore=0.95, tp=52140, tn=944280, fp=0, fn=3580, precision=1.0, recall=0.9357501794687725, clusters=56, totalSimilarities=1000000, calculatedSimilarities=195984, minimumSimilarities=55720, time=1)
