Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
Result(algorithm=Random, size=700, topics=44, minScore=0.83, tp=894, tn=436760, fp=9550, fn=42796, precision=0.0855993872079663, recall=0.020462348363469902, clusters=44, totalSimilarities=490000, calculatedSimilarities=11144, minimumSimilarities=43690, time=0)
Result(algorithm=TDC, size=700, topics=44, minScore=0.83, tp=33008, tn=391548, fp=54762, fn=10682, precision=0.3760738293266492, recall=0.7555046921492332, clusters=46, totalSimilarities=490000, calculatedSimilarities=88470, minimumSimilarities=43690, time=1)

800	Result(algorithm=CRDC, size=800, topics=44, minScore=0.83, tp=51454, tn=575278, fp=4280, fn=8988, precision=0.9232066602074138, recall=0.8512954568015618, clusters=95, totalSimilarities=640000, calculatedSimilarities=56534, minimumSimilarities=60442, time=3)
Result(algorithm=DBSCAN, size=800, topics=44, minScore=0.83, tp=59996, tn=154466, fp=425092, fn=446, precision=0.12368065175803153, recall=0.9926210251149863, clusters=2, totalSimilarities=640000, calculatedSimilarities=485904, minimumSimilarities=60442, time=1668)
Result(algorithm=K-Means, size=800, topics=44, minScore=0.83, tp=49176, tn=573124, fp=6434, fn=11266, precision=0.8843013846430499, recall=0.8136064326130836, clusters=44, totalSimilarities=640000, calculatedSimilarities=1816410, minimumSimilarities=60442, time=1403)
Result(algorithm=RDC, size=800, topics=44, minScore=0.83, tp=57578, tn=442260, fp=137298, fn=2864, precision=0.29545967692276115, recall=0.9526157307832303, clusters=12, totalSimilarities=640000, calculatedSimilarities=195676, minimumSimilarities=60442, time=2)
Result(algorithm=Random, size=800, topics=44, minScore=0.83, tp=1356, tn=567062, fp=12496, fn=59086, precision=0.09789200115506785, recall=0.02243473081631978, clusters=44, totalSimilarities=640000, calculatedSimilarities=14652, minimumSimilarities=60442, time=0)
Result(algorithm=TDC, size=800, topics=44, minScore=0.83, tp=45838, tn=507830, fp=71728, fn=14604, precision=0.38989163533674703, recall=0.7583799344826445, clusters=48, totalSimilarities=640000, calculatedSimilarities=118366, minimumSimilarities=60442, time=1)

900	Result(algorithm=CRDC, size=900, topics=44, minScore=0.83, tp=67036, tn=725644, fp=5516, fn=11804, precision=0.9239717719704488, recall=0.8502790461694572, clusters=102, totalSimilarities=810000, calculatedSimilarities=73452, minimumSimilarities=78840, time=2)
Result(algorithm=DBSCAN, size=900, topics=44, minScore=0.83, tp=78280, tn=190172, fp=540988, fn=560, precision=0.12640730669112565, recall=0.9928970065956367, clusters=2, totalSimilarities=810000, calculatedSimilarities=620186, minimumSimilarities=78840, time=2266)
Result(algorithm=K-Means, size=900, topics=44, minScore=0.83, tp=58846, tn=724432, fp=6728, fn=19994, precision=0.8973983591057432, recall=0.7463977676306444, clusters=44, totalSimilarities=810000, calculatedSimilarities=2046474, minimumSimilarities=78840, time=1985)
Result(algorithm=RDC, size=900, topics=44, minScore=0.83, tp=75266, tn=553906, fp=177254, fn=3574, precision=0.2980595596388405, recall=0.9546676813800101, clusters=13, totalSimilarities=810000, calculatedSimilarities=253420, minimumSimilarities=78840, time=2)
Result(algorithm=Random, size=900, topics=44, minScore=0.83, tp=1712, tn=715286, fp=15874, fn=77128, precision=0.09735016490390083, recall=0.02171486555048199, clusters=44, totalSimilarities=810000, calculatedSimilarities=18486, minimumSimilarities=78840, time=0)
Result(algorithm=TDC, size=900, topics=44, minScore=0.83, tp=60686, tn=638888, fp=92272, fn=18154, precision=0.39674943448528355, recall=0.7697361745306951, clusters=55, totalSimilarities=810000, calculatedSimilarities=153858, minimumSimilarities=78840, time=1)

1000	Result(algorithm=CRDC, size=1000, topics=44, minScore=0.83, tp=86688, tn=892072, fp=6764, fn=14476, precision=0.9276205966699482, recall=0.8569056185995018, clusters=105, totalSimilarities=1000000, calculatedSimilarities=94452, minimumSimilarities=101164, time=4)
Result(algorithm=DBSCAN, size=1000, topics=44, minScore=0.83, tp=100662, tn=211698, fp=687138, fn=502, precision=0.12777608530083778, recall=0.9950377604681507, clusters=2, totalSimilarities=1000000, calculatedSimilarities=788820, minimumSimilarities=101164, time=2522)
Result(algorithm=K-Means, size=1000, topics=44, minScore=0.83, tp=75084, tn=887306, fp=11530, fn=26080, precision=0.8668806428521948, recall=0.742200782887193, clusters=44, totalSimilarities=1000000, calculatedSimilarities=2287614, minimumSimilarities=101164, time=963)
Result(algorithm=RDC, size=1000, topics=44, minScore=0.83, tp=96952, tn=675746, fp=223090, fn=4212, precision=0.3029352397497828, recall=0.9583646356411372, clusters=13, totalSimilarities=1000000, calculatedSimilarities=321042, minimumSimilarities=101164, time=2)
Result(algorithm=Random, size=1000, topics=44, minScore=0.83, tp=2230, tn=879284, fp=19552, fn=98934, precision=0.10237811036635755, recall=0.022043414653434026, clusters=44, totalSimilarities=1000000, calculatedSimilarities=22782, minimumSimilarities=101164, time=0)
Result(algorithm=TDC, size=1000, topics=44, minScore=0.83, tp=78514, tn=782366, fp=116470, fn=22650, precision=0.40266893693841543, recall=0.7761061247083942, clusters=56, totalSimilarities=1000000, calculatedSimilarities=195984, minimumSimilarities=101164, time=1)
